,advanced education,non advanced education
7433,high<=50K,
7434,,low>50K
7435,,low<=50K
7436,high>50K,
7437,,low<=50K
7438,,low<=50K
7439,high>50K,
7440,high<=50K,
7441,high<=50K,
7442,,low<=50K
7443,,low<=50K
7444,,low<=50K
7445,,low<=50K
7446,,low<=50K
7447,,low<=50K
7448,,low<=50K
7449,,low<=50K
7450,,low<=50K
7451,,low<=50K
7452,high>50K,
7453,,low<=50K
7454,,low<=50K
7455,high<=50K,
7456,,low<=50K
7457,high>50K,
7458,,low<=50K
7459,high<=50K,
7460,,low<=50K
7461,,low>50K
7462,,low>50K
7463,high>50K,
7464,high<=50K,
7465,,low<=50K
7466,,low<=50K
7467,,low<=50K
7468,,low>50K
7469,,low<=50K
7470,high<=50K,
7471,,low<=50K
7472,,low<=50K
7473,,low<=50K
7474,,low<=50K
7475,,low<=50K
7476,,low<=50K
7477,high>50K,
7478,,low<=50K
7479,,low<=50K
7480,high<=50K,
7481,high<=50K,
7482,high>50K,
7483,,low>50K
7484,,low<=50K
7485,,low<=50K
7486,,low>50K
7487,,low<=50K
7488,,low<=50K
7489,,low<=50K
7490,,low>50K
7491,,low<=50K
7492,,low>50K
7493,high<=50K,
7494,,low<=50K
7495,,low<=50K
7496,,low<=50K
7497,,low<=50K
7498,high<=50K,
7499,,low<=50K
7500,,low<=50K
7501,high>50K,
7502,,low<=50K
7503,,low<=50K
7504,,low>50K
7505,,low<=50K
7506,,low<=50K
7507,,low<=50K
7508,high<=50K,
7509,,low<=50K
7510,,low<=50K
7511,high>50K,
7512,high<=50K,
7513,high>50K,
7514,high>50K,
7515,,low<=50K
7516,,low<=50K
7517,,low<=50K
7518,high>50K,
7519,,low<=50K
7520,,low<=50K
7521,,low<=50K
7522,,low<=50K
7523,,low<=50K
7524,,low<=50K
7525,,low<=50K
7526,,low<=50K
7527,high>50K,
7528,,low<=50K
7529,high>50K,
7530,,low>50K
7531,,low<=50K
7532,,low<=50K
7533,,low<=50K
7534,,low<=50K
7535,high<=50K,
7536,,low<=50K
7537,high>50K,
7538,,low<=50K
7539,,low<=50K
7540,high>50K,
7541,,low<=50K
7542,,low<=50K
7543,,low<=50K
7544,high<=50K,
7545,,low>50K
7546,,low<=50K
7547,,low<=50K
7548,,low<=50K
7549,,low<=50K
7550,high<=50K,
7551,,low>50K
7552,high<=50K,
7553,high>50K,
7554,,low>50K
7555,,low<=50K
7556,,low<=50K
7557,high>50K,
7558,,low>50K
7559,,low<=50K
7560,high>50K,
7561,,low<=50K
7562,,low<=50K
7563,,low<=50K
7564,high>50K,
7565,,low>50K
7566,,low<=50K
7567,high<=50K,
7568,high>50K,
7569,high>50K,
7570,high>50K,
7571,high<=50K,
7572,high>50K,
7573,,low<=50K
7574,,low<=50K
7575,,low<=50K
7576,,low<=50K
7577,,low<=50K
7578,,low<=50K
7579,,low<=50K
7580,high>50K,
7581,,low>50K
7582,high<=50K,
7583,high<=50K,
7584,,low>50K
7585,,low<=50K
7586,,low<=50K
7587,high<=50K,
7588,,low<=50K
7589,,low<=50K
7590,,low<=50K
7591,,low>50K
7592,,low<=50K
7593,,low<=50K
7594,,low<=50K
7595,,low<=50K
7596,,low<=50K
7597,,low<=50K
7598,,low<=50K
7599,,low<=50K
7600,,low<=50K
7601,high>50K,
7602,,low<=50K
7603,,low<=50K
7604,,low<=50K
7605,,low<=50K
7606,,low<=50K
7607,,low<=50K
7608,,low<=50K
7609,,low<=50K
7610,,low<=50K
7611,,low<=50K
7612,,low<=50K
7613,,low<=50K
7614,,low<=50K
7615,,low<=50K
7616,,low<=50K
7617,,low<=50K
7618,,low<=50K
7619,,low<=50K
7620,,low<=50K
7621,,low<=50K
7622,,low<=50K
7623,,low<=50K
7624,,low>50K
7625,,low<=50K
7626,,low>50K
7627,high<=50K,
7628,,low<=50K
7629,,low<=50K
7630,,low<=50K
7631,,low<=50K
7632,high>50K,
7633,,low<=50K
7634,,low<=50K
7635,,low<=50K
7636,,low<=50K
7637,,low<=50K
7638,,low>50K
7639,,low>50K
7640,,low<=50K
7641,,low<=50K
7642,,low<=50K
7643,,low<=50K
7644,,low<=50K
7645,high<=50K,
7646,,low<=50K
7647,,low>50K
7648,,low<=50K
7649,,low<=50K
7650,,low>50K
7651,,low<=50K
7652,high<=50K,
7653,,low<=50K
7654,,low<=50K
7655,,low<=50K
7656,,low<=50K
7657,high>50K,
7658,,low>50K
7659,high>50K,
7660,,low<=50K
7661,,low>50K
7662,high>50K,
7663,,low>50K
7664,high<=50K,
7665,,low<=50K
7666,,low>50K
7667,,low<=50K
7668,,low<=50K
7669,,low>50K
7670,,low<=50K
7671,,low<=50K
7672,,low<=50K
7673,high>50K,
7674,,low<=50K
7675,,low<=50K
7676,,low<=50K
7677,,low<=50K
7678,,low<=50K
7679,,low<=50K
7680,,low<=50K
7681,,low<=50K
7682,,low<=50K
7683,high<=50K,
7684,,low<=50K
7685,high<=50K,
7686,,low<=50K
7687,,low>50K
7688,,low>50K
7689,,low>50K
7690,,low<=50K
7691,,low<=50K
7692,high>50K,
7693,,low<=50K
7694,,low<=50K
7695,high>50K,
7696,high>50K,
7697,high>50K,
7698,,low<=50K
7699,high<=50K,
7700,,low<=50K
7701,,low<=50K
7702,high<=50K,
7703,high<=50K,
7704,high>50K,
7705,,low<=50K
7706,,low<=50K
7707,,low<=50K
7708,,low>50K
7709,,low<=50K
7710,high<=50K,
7711,high<=50K,
7712,,low<=50K
7713,high<=50K,
7714,,low<=50K
7715,high<=50K,
7716,,low<=50K
7717,,low<=50K
7718,,low<=50K
7719,high<=50K,
7720,,low<=50K
7721,,low<=50K
7722,,low<=50K
7723,,low<=50K
7724,,low<=50K
7725,,low<=50K
7726,,low<=50K
7727,,low<=50K
7728,,low<=50K
7729,,low<=50K
7730,,low<=50K
7731,high>50K,
7732,,low<=50K
7733,,low<=50K
7734,,low<=50K
7735,high>50K,
7736,,low<=50K
7737,high<=50K,
7738,,low<=50K
7739,high>50K,
7740,,low<=50K
7741,,low<=50K
7742,,low<=50K
7743,,low<=50K
7744,,low<=50K
7745,high>50K,
7746,,low<=50K
7747,,low<=50K
7748,high<=50K,
7749,high>50K,
7750,,low<=50K
7751,high<=50K,
7752,high<=50K,
7753,high<=50K,
7754,,low>50K
7755,,low<=50K
7756,,low<=50K
7757,,low<=50K
7758,high>50K,
7759,,low>50K
7760,,low<=50K
7761,,low<=50K
7762,high>50K,
7763,,low<=50K
7764,,low<=50K
7765,,low<=50K
7766,,low>50K
7767,high<=50K,
7768,,low>50K
7769,,low>50K
7770,,low<=50K
7771,,low<=50K
7772,,low<=50K
7773,high<=50K,
7774,,low<=50K
7775,,low<=50K
7776,,low<=50K
7777,,low<=50K
7778,,low<=50K
7779,high>50K,
7780,,low<=50K
7781,,low<=50K
7782,,low<=50K
7783,,low<=50K
7784,high<=50K,
7785,,low<=50K
7786,high>50K,
7787,,low<=50K
7788,high>50K,
7789,,low<=50K
7790,,low<=50K
7791,,low<=50K
7792,high<=50K,
7793,,low>50K
7794,,low>50K
7795,,low<=50K
7796,high<=50K,
7797,,low<=50K
7798,,low>50K
7799,high<=50K,
7800,,low<=50K
7801,,low<=50K
7802,,low<=50K
7803,,low<=50K
7804,,low<=50K
7805,,low<=50K
7806,,low<=50K
7807,,low<=50K
7808,,low<=50K
7809,,low<=50K
7810,,low<=50K
7811,high>50K,
7812,,low>50K
7813,,low<=50K
7814,,low<=50K
7815,,low<=50K
7816,high>50K,
7817,,low<=50K
7818,,low<=50K
7819,high<=50K,
7820,,low<=50K
7821,high<=50K,
7822,,low<=50K
7823,,low<=50K
7824,high>50K,
7825,,low<=50K
7826,,low>50K
7827,high>50K,
7828,,low<=50K
7829,,low<=50K
7830,,low<=50K
7831,,low<=50K
7832,,low<=50K
7833,,low<=50K
7834,high<=50K,
7835,high>50K,
7836,,low<=50K
7837,,low<=50K
7838,,low<=50K
7839,high>50K,
7840,,low<=50K
7841,,low<=50K
7842,,low<=50K
7843,,low<=50K
7844,high<=50K,
7845,,low<=50K
7846,high>50K,
7847,,low<=50K
7848,,low<=50K
7849,,low<=50K
7850,,low>50K
7851,,low<=50K
7852,,low<=50K
7853,,low<=50K
7854,,low<=50K
7855,,low<=50K
7856,high<=50K,
7857,high>50K,
7858,high<=50K,
7859,,low<=50K
7860,,low<=50K
7861,,low>50K
7862,,low<=50K
7863,,low<=50K
7864,,low<=50K
7865,,low>50K
7866,,low<=50K
7867,,low<=50K
7868,,low>50K
7869,,low<=50K
7870,,low<=50K
7871,,low<=50K
7872,high<=50K,
7873,high<=50K,
7874,,low<=50K
7875,,low<=50K
7876,,low<=50K
7877,,low<=50K
7878,high>50K,
7879,,low<=50K
7880,high<=50K,
7881,,low<=50K
7882,,low<=50K
7883,high<=50K,
7884,,low<=50K
7885,,low<=50K
7886,,low<=50K
7887,,low<=50K
7888,,low>50K
7889,,low<=50K
7890,,low<=50K
7891,,low<=50K
7892,high<=50K,
7893,,low>50K
7894,,low<=50K
7895,,low<=50K
7896,,low>50K
7897,,low>50K
7898,,low<=50K
7899,high<=50K,
7900,,low>50K
7901,,low>50K
7902,high<=50K,
7903,,low<=50K
7904,,low<=50K
7905,,low<=50K
7906,high<=50K,
7907,high<=50K,
7908,,low<=50K
7909,,low<=50K
7910,,low<=50K
7911,,low>50K
7912,high<=50K,
7913,,low<=50K
7914,,low<=50K
7915,,low>50K
7916,,low>50K
7917,,low>50K
7918,,low<=50K
7919,,low<=50K
7920,,low<=50K
7921,,low<=50K
7922,,low<=50K
7923,high<=50K,
7924,,low<=50K
7925,,low<=50K
7926,,low<=50K
7927,,low>50K
7928,,low<=50K
7929,,low<=50K
7930,,low<=50K
7931,,low<=50K
7932,,low<=50K
7933,high<=50K,
7934,,low>50K
7935,,low<=50K
7936,,low<=50K
7937,high>50K,
7938,,low<=50K
7939,,low<=50K
7940,,low<=50K
7941,,low<=50K
7942,,low<=50K
7943,,low<=50K
7944,,low<=50K
7945,high<=50K,
7946,,low>50K
7947,,low>50K
7948,high>50K,
7949,,low>50K
7950,,low>50K
7951,,low<=50K
7952,high<=50K,
7953,,low<=50K
7954,,low>50K
7955,,low<=50K
7956,high<=50K,
7957,,low<=50K
7958,,low<=50K
7959,high<=50K,
7960,high<=50K,
7961,,low<=50K
7962,high>50K,
7963,,low<=50K
7964,,low<=50K
7965,,low<=50K
7966,,low>50K
7967,high<=50K,
7968,,low>50K
7969,,low<=50K
7970,,low<=50K
7971,,low>50K
7972,,low<=50K
7973,,low<=50K
7974,high>50K,
7975,,low<=50K
7976,high>50K,
7977,high>50K,
7978,,low<=50K
7979,,low<=50K
7980,high<=50K,
7981,,low<=50K
7982,,low<=50K
7983,high<=50K,
7984,,low<=50K
7985,high<=50K,
7986,high<=50K,
7987,,low<=50K
7988,,low<=50K
7989,,low<=50K
7990,,low<=50K
7991,,low<=50K
7992,,low<=50K
7993,,low<=50K
7994,,low<=50K
7995,high<=50K,
7996,,low<=50K
7997,,low<=50K
7998,high>50K,
7999,high>50K,
8000,,low<=50K
8001,,low<=50K
8002,high>50K,
8003,,low<=50K
8004,,low<=50K
8005,,low<=50K
8006,,low>50K
8007,,low<=50K
8008,,low<=50K
8009,,low<=50K
8010,high<=50K,
8011,,low<=50K
8012,,low<=50K
8013,,low>50K
8014,,low<=50K
8015,,low<=50K
8016,high>50K,
8017,high>50K,
8018,high>50K,
8019,high<=50K,
8020,,low<=50K
8021,,low<=50K
8022,,low>50K
8023,,low<=50K
8024,,low<=50K
8025,,low<=50K
8026,,low>50K
8027,,low<=50K
8028,,low<=50K
8029,,low<=50K
8030,high>50K,
8031,high<=50K,
8032,,low>50K
8033,,low<=50K
8034,high>50K,
8035,,low>50K
8036,,low<=50K
8037,,low<=50K
8038,,low<=50K
8039,high<=50K,
8040,,low<=50K
8041,high>50K,
8042,high<=50K,
8043,,low<=50K
8044,,low<=50K
8045,,low>50K
8046,,low>50K
8047,,low<=50K
8048,,low<=50K
8049,,low<=50K
8050,high>50K,
8051,,low<=50K
8052,high<=50K,
8053,high>50K,
8054,,low<=50K
8055,,low<=50K
8056,,low<=50K
8057,,low<=50K
8058,,low<=50K
8059,,low<=50K
8060,,low>50K
8061,,low>50K
8062,,low>50K
8063,,low<=50K
8064,,low<=50K
8065,high>50K,
8066,,low<=50K
8067,,low<=50K
8068,,low<=50K
8069,,low>50K
8070,,low>50K
8071,,low<=50K
8072,high<=50K,
8073,,low<=50K
8074,,low>50K
8075,high<=50K,
8076,high<=50K,
8077,high>50K,
8078,,low<=50K
8079,,low<=50K
8080,,low<=50K
8081,,low<=50K
8082,,low>50K
8083,,low<=50K
8084,,low>50K
8085,,low<=50K
8086,,low<=50K
8087,,low<=50K
8088,,low<=50K
8089,,low<=50K
8090,,low<=50K
8091,,low>50K
8092,,low>50K
8093,high>50K,
8094,,low>50K
8095,,low<=50K
8096,,low>50K
8097,high>50K,
8098,high<=50K,
8099,high<=50K,
8100,high>50K,
8101,high<=50K,
8102,,low<=50K
8103,high>50K,
8104,high<=50K,
8105,,low<=50K
8106,,low<=50K
8107,,low<=50K
8108,,low<=50K
8109,,low<=50K
8110,,low<=50K
8111,,low<=50K
8112,,low<=50K
8113,,low<=50K
8114,,low<=50K
8115,high<=50K,
8116,high<=50K,
8117,,low<=50K
8118,,low<=50K
8119,,low>50K
8120,,low<=50K
8121,,low>50K
8122,high>50K,
8123,high<=50K,
8124,,low<=50K
8125,,low<=50K
8126,,low<=50K
8127,high>50K,
8128,,low<=50K
8129,high>50K,
8130,,low<=50K
8131,,low<=50K
8132,,low<=50K
8133,,low<=50K
8134,,low>50K
8135,,low<=50K
8136,,low>50K
8137,,low<=50K
8138,,low>50K
8139,,low<=50K
8140,,low<=50K
8141,,low<=50K
8142,,low<=50K
8143,high>50K,
8144,high>50K,
8145,,low<=50K
8146,high<=50K,
8147,,low>50K
8148,,low<=50K
8149,high>50K,
8150,,low<=50K
8151,,low<=50K
8152,,low<=50K
8153,,low<=50K
8154,,low<=50K
8155,,low<=50K
8156,,low<=50K
8157,,low<=50K
8158,high<=50K,
8159,high<=50K,
8160,high<=50K,
8161,,low>50K
8162,,low<=50K
8163,,low<=50K
8164,,low<=50K
8165,,low<=50K
8166,,low<=50K
8167,,low<=50K
8168,,low<=50K
8169,,low<=50K
8170,,low<=50K
8171,high>50K,
8172,high>50K,
8173,,low<=50K
8174,high>50K,
8175,,low<=50K
8176,,low>50K
8177,,low<=50K
8178,,low<=50K
8179,,low>50K
8180,high>50K,
8181,high<=50K,
8182,high<=50K,
8183,high<=50K,
8184,,low<=50K
8185,,low<=50K
8186,,low>50K
8187,high>50K,
8188,high<=50K,
8189,,low<=50K
8190,,low<=50K
8191,,low<=50K
8192,,low<=50K
8193,,low<=50K
8194,,low<=50K
8195,,low>50K
8196,,low<=50K
8197,,low<=50K
8198,,low>50K
8199,,low<=50K
8200,,low<=50K
8201,,low<=50K
8202,,low<=50K
8203,,low<=50K
8204,,low<=50K
8205,high<=50K,
8206,,low<=50K
8207,,low>50K
8208,high<=50K,
8209,,low>50K
8210,,low<=50K
8211,,low<=50K
8212,,low<=50K
8213,,low<=50K
8214,,low<=50K
8215,high<=50K,
8216,,low>50K
8217,high<=50K,
8218,,low<=50K
8219,,low>50K
8220,high>50K,
8221,,low<=50K
8222,,low<=50K
8223,,low<=50K
8224,,low<=50K
8225,,low>50K
8226,high>50K,
8227,,low<=50K
8228,,low>50K
8229,,low<=50K
8230,,low>50K
8231,,low<=50K
8232,,low>50K
8233,,low<=50K
8234,high>50K,
8235,,low>50K
8236,,low<=50K
8237,,low<=50K
8238,,low<=50K
8239,,low<=50K
8240,,low>50K
8241,high>50K,
8242,,low<=50K
8243,,low<=50K
8244,,low<=50K
8245,,low>50K
8246,,low<=50K
8247,,low<=50K
8248,,low<=50K
8249,,low<=50K
8250,,low<=50K
8251,,low<=50K
8252,,low<=50K
8253,,low<=50K
8254,,low>50K
8255,high>50K,
8256,,low<=50K
8257,,low<=50K
8258,high>50K,
8259,high<=50K,
8260,,low<=50K
8261,,low<=50K
8262,,low<=50K
8263,,low>50K
8264,,low>50K
8265,high>50K,
8266,,low>50K
8267,,low<=50K
8268,,low<=50K
8269,,low<=50K
8270,high>50K,
8271,,low>50K
8272,,low>50K
8273,,low>50K
8274,,low<=50K
8275,,low>50K
8276,,low<=50K
8277,,low>50K
8278,,low>50K
8279,,low<=50K
8280,,low>50K
8281,,low<=50K
8282,,low<=50K
8283,,low<=50K
8284,,low<=50K
8285,,low>50K
8286,,low<=50K
8287,high>50K,
8288,,low<=50K
8289,,low<=50K
8290,,low<=50K
8291,high<=50K,
8292,,low<=50K
8293,,low<=50K
8294,,low<=50K
8295,,low<=50K
8296,,low>50K
8297,high<=50K,
8298,,low<=50K
8299,,low<=50K
8300,,low<=50K
8301,high<=50K,
8302,,low<=50K
8303,high<=50K,
8304,,low<=50K
8305,,low>50K
8306,,low>50K
8307,,low<=50K
8308,,low>50K
8309,high>50K,
8310,,low<=50K
8311,,low>50K
8312,,low<=50K
8313,,low<=50K
8314,,low<=50K
8315,high>50K,
8316,,low<=50K
8317,,low<=50K
8318,,low<=50K
8319,,low<=50K
8320,,low<=50K
8321,,low<=50K
8322,,low<=50K
8323,high>50K,
8324,,low<=50K
8325,,low<=50K
8326,,low<=50K
8327,,low<=50K
8328,high>50K,
8329,,low<=50K
8330,,low<=50K
8331,,low<=50K
8332,,low<=50K
8333,,low<=50K
8334,,low<=50K
8335,high>50K,
8336,,low<=50K
8337,,low>50K
8338,,low<=50K
8339,,low<=50K
8340,,low<=50K
8341,high<=50K,
8342,high<=50K,
8343,,low<=50K
8344,,low<=50K
8345,,low>50K
8346,,low<=50K
8347,,low<=50K
8348,high<=50K,
8349,high>50K,
8350,,low<=50K
8351,high>50K,
8352,high<=50K,
8353,high<=50K,
8354,,low<=50K
8355,,low<=50K
8356,,low>50K
8357,,low<=50K
8358,high<=50K,
8359,,low<=50K
8360,,low<=50K
8361,high<=50K,
8362,,low<=50K
8363,,low<=50K
8364,,low<=50K
8365,high>50K,
8366,,low<=50K
8367,,low<=50K
8368,high>50K,
8369,,low<=50K
8370,,low<=50K
8371,,low>50K
8372,high>50K,
8373,high>50K,
8374,,low<=50K
8375,,low<=50K
8376,,low>50K
8377,,low<=50K
8378,,low<=50K
8379,,low<=50K
8380,,low<=50K
8381,,low>50K
8382,,low<=50K
8383,high<=50K,
8384,,low>50K
8385,high>50K,
8386,,low<=50K
8387,,low>50K
8388,,low<=50K
8389,,low<=50K
8390,,low<=50K
8391,,low<=50K
8392,,low<=50K
8393,,low<=50K
8394,,low<=50K
8395,,low<=50K
8396,,low<=50K
8397,,low<=50K
8398,high<=50K,
8399,high<=50K,
8400,high<=50K,
8401,,low>50K
8402,high>50K,
8403,,low<=50K
8404,,low>50K
8405,,low<=50K
8406,,low<=50K
8407,,low<=50K
8408,,low>50K
8409,,low<=50K
8410,,low<=50K
8411,,low<=50K
8412,,low>50K
8413,high>50K,
8414,,low>50K
8415,high<=50K,
8416,,low>50K
8417,,low<=50K
8418,high>50K,
8419,,low<=50K
8420,,low<=50K
8421,,low>50K
8422,,low<=50K
8423,high<=50K,
8424,,low>50K
8425,,low<=50K
8426,,low<=50K
8427,,low<=50K
8428,high>50K,
8429,high<=50K,
8430,,low<=50K
8431,high>50K,
8432,,low>50K
8433,,low>50K
8434,high<=50K,
8435,,low<=50K
8436,,low<=50K
8437,high>50K,
8438,,low>50K
8439,,low<=50K
8440,,low<=50K
8441,,low<=50K
8442,,low<=50K
8443,high>50K,
8444,,low<=50K
8445,,low>50K
8446,high<=50K,
8447,,low<=50K
8448,high>50K,
8449,high>50K,
8450,,low<=50K
8451,,low<=50K
8452,,low<=50K
8453,,low<=50K
8454,,low<=50K
8455,,low<=50K
8456,,low<=50K
8457,,low<=50K
8458,high>50K,
8459,high>50K,
8460,,low<=50K
8461,,low<=50K
8462,,low<=50K
8463,high>50K,
8464,,low<=50K
8465,high<=50K,
8466,,low>50K
8467,,low<=50K
8468,,low<=50K
8469,,low<=50K
8470,,low<=50K
8471,,low>50K
8472,high>50K,
8473,,low<=50K
8474,,low>50K
8475,,low<=50K
8476,,low>50K
8477,,low<=50K
8478,,low<=50K
8479,,low<=50K
8480,high<=50K,
8481,,low<=50K
8482,,low>50K
8483,high<=50K,
8484,,low<=50K
8485,,low<=50K
8486,,low<=50K
8487,,low<=50K
8488,,low<=50K
8489,,low<=50K
8490,,low<=50K
8491,high<=50K,
8492,,low<=50K
8493,,low>50K
8494,,low<=50K
8495,,low<=50K
8496,,low>50K
8497,,low>50K
8498,,low<=50K
8499,,low<=50K
8500,,low<=50K
8501,high>50K,
8502,high>50K,
8503,,low<=50K
8504,high<=50K,
8505,high<=50K,
8506,,low>50K
8507,,low<=50K
8508,,low<=50K
8509,,low<=50K
8510,,low<=50K
8511,,low<=50K
8512,,low<=50K
8513,,low<=50K
8514,high<=50K,
8515,,low<=50K
8516,,low<=50K
8517,,low<=50K
8518,,low<=50K
8519,,low<=50K
8520,,low<=50K
8521,high<=50K,
8522,,low<=50K
8523,,low<=50K
8524,high<=50K,
8525,high<=50K,
8526,,low<=50K
8527,,low<=50K
8528,high<=50K,
8529,high<=50K,
8530,,low<=50K
8531,,low<=50K
8532,high>50K,
8533,,low<=50K
8534,high<=50K,
8535,,low<=50K
8536,high>50K,
8537,,low<=50K
8538,,low>50K
8539,,low<=50K
8540,,low<=50K
8541,,low<=50K
8542,,low<=50K
8543,,low<=50K
8544,high<=50K,
8545,,low<=50K
8546,,low<=50K
8547,,low>50K
8548,,low<=50K
8549,high<=50K,
8550,high<=50K,
8551,,low<=50K
8552,,low<=50K
8553,,low<=50K
8554,high>50K,
8555,,low<=50K
8556,high>50K,
8557,,low<=50K
8558,,low<=50K
8559,,low<=50K
8560,,low<=50K
8561,,low<=50K
8562,,low<=50K
8563,,low<=50K
8564,,low<=50K
8565,,low<=50K
8566,,low<=50K
8567,high<=50K,
8568,high>50K,
8569,,low>50K
8570,high>50K,
8571,,low<=50K
8572,,low<=50K
8573,high>50K,
8574,high<=50K,
8575,,low<=50K
8576,,low<=50K
8577,,low<=50K
8578,,low<=50K
8579,,low<=50K
8580,,low<=50K
8581,,low<=50K
8582,,low<=50K
8583,,low>50K
8584,,low<=50K
8585,,low<=50K
8586,high<=50K,
8587,,low<=50K
8588,,low<=50K
8589,high>50K,
8590,high<=50K,
8591,,low<=50K
8592,,low<=50K
8593,,low<=50K
8594,,low<=50K
8595,,low>50K
8596,,low<=50K
8597,,low<=50K
8598,,low<=50K
8599,,low<=50K
8600,high<=50K,
8601,,low<=50K
8602,,low<=50K
8603,,low>50K
8604,,low<=50K
8605,,low<=50K
8606,,low<=50K
8607,,low<=50K
8608,,low<=50K
8609,high>50K,
8610,,low>50K
8611,,low<=50K
8612,,low<=50K
8613,,low<=50K
8614,,low<=50K
8615,,low<=50K
8616,high>50K,
8617,,low<=50K
8618,high<=50K,
8619,,low<=50K
8620,,low<=50K
8621,,low<=50K
8622,,low<=50K
8623,,low<=50K
8624,,low<=50K
8625,,low<=50K
8626,,low<=50K
8627,,low<=50K
8628,,low<=50K
8629,,low<=50K
8630,,low<=50K
8631,,low<=50K
8632,high>50K,
8633,,low<=50K
8634,high<=50K,
8635,,low<=50K
8636,,low<=50K
8637,high>50K,
8638,,low<=50K
8639,,low<=50K
8640,high>50K,
8641,,low<=50K
8642,,low<=50K
8643,,low<=50K
8644,high<=50K,
8645,,low<=50K
8646,,low<=50K
8647,,low<=50K
8648,high<=50K,
8649,,low<=50K
8650,,low<=50K
8651,,low<=50K
8652,,low<=50K
8653,high<=50K,
8654,,low>50K
8655,high<=50K,
8656,,low<=50K
8657,high<=50K,
8658,,low<=50K
8659,,low<=50K
8660,,low<=50K
8661,,low<=50K
8662,,low<=50K
8663,,low<=50K
8664,,low>50K
8665,,low<=50K
8666,,low<=50K
8667,high>50K,
8668,high>50K,
8669,,low<=50K
8670,,low<=50K
8671,,low<=50K
8672,,low<=50K
8673,,low<=50K
8674,,low<=50K
8675,,low<=50K
8676,,low<=50K
8677,,low<=50K
8678,,low<=50K
8679,,low>50K
8680,,low<=50K
8681,,low<=50K
8682,high>50K,
8683,high>50K,
8684,,low<=50K
8685,,low<=50K
8686,,low<=50K
8687,high<=50K,
8688,,low<=50K
8689,,low<=50K
8690,,low<=50K
8691,,low<=50K
8692,,low<=50K
8693,high<=50K,
8694,,low<=50K
8695,,low<=50K
8696,,low<=50K
8697,,low<=50K
8698,high<=50K,
8699,high<=50K,
8700,,low<=50K
8701,,low<=50K
8702,high>50K,
8703,,low<=50K
8704,,low>50K
8705,,low<=50K
8706,,low<=50K
8707,,low<=50K
8708,,low<=50K
8709,,low<=50K
8710,,low<=50K
8711,,low<=50K
8712,high>50K,
8713,,low<=50K
8714,,low<=50K
8715,,low>50K
8716,,low<=50K
8717,,low<=50K
8718,,low<=50K
8719,,low<=50K
8720,,low<=50K
8721,,low<=50K
8722,,low<=50K
8723,high<=50K,
8724,,low<=50K
8725,,low>50K
8726,high<=50K,
8727,high<=50K,
8728,,low<=50K
8729,high<=50K,
8730,,low>50K
8731,,low<=50K
8732,high>50K,
8733,,low<=50K
8734,,low<=50K
8735,,low<=50K
8736,,low<=50K
8737,,low<=50K
8738,high>50K,
8739,,low<=50K
8740,,low<=50K
8741,high<=50K,
8742,,low<=50K
8743,,low<=50K
8744,,low<=50K
8745,,low<=50K
8746,,low<=50K
8747,,low<=50K
8748,,low<=50K
8749,,low<=50K
8750,,low<=50K
8751,,low<=50K
8752,,low>50K
8753,,low<=50K
8754,,low<=50K
8755,,low<=50K
8756,high<=50K,
8757,,low<=50K
8758,,low<=50K
8759,high<=50K,
8760,,low>50K
8761,,low<=50K
8762,high>50K,
8763,high<=50K,
8764,high<=50K,
8765,,low<=50K
8766,high<=50K,
8767,,low<=50K
8768,,low>50K
8769,,low<=50K
8770,,low<=50K
8771,high<=50K,
8772,,low<=50K
8773,,low<=50K
8774,,low<=50K
8775,,low<=50K
8776,,low<=50K
8777,,low<=50K
8778,,low<=50K
8779,high<=50K,
8780,,low<=50K
8781,,low<=50K
8782,,low<=50K
8783,,low<=50K
8784,,low<=50K
8785,,low<=50K
8786,high>50K,
8787,high>50K,
8788,,low<=50K
8789,,low<=50K
8790,,low<=50K
8791,,low<=50K
8792,,low<=50K
8793,,low<=50K
8794,,low<=50K
8795,,low<=50K
8796,,low<=50K
8797,high>50K,
8798,,low<=50K
8799,,low<=50K
8800,,low<=50K
8801,,low<=50K
8802,,low<=50K
8803,high>50K,
8804,,low<=50K
8805,,low<=50K
8806,,low<=50K
8807,,low<=50K
8808,high>50K,
8809,,low<=50K
8810,,low<=50K
8811,high>50K,
8812,high<=50K,
8813,,low<=50K
8814,,low<=50K
8815,,low<=50K
8816,,low<=50K
8817,,low>50K
8818,,low<=50K
8819,high<=50K,
8820,,low<=50K
8821,high<=50K,
8822,,low<=50K
8823,,low<=50K
8824,high>50K,
8825,,low<=50K
8826,,low<=50K
8827,high>50K,
8828,high<=50K,
8829,,low<=50K
8830,,low<=50K
8831,high<=50K,
8832,,low<=50K
8833,,low<=50K
8834,high>50K,
8835,high<=50K,
8836,,low<=50K
8837,,low<=50K
8838,,low<=50K
8839,,low<=50K
8840,,low<=50K
8841,,low<=50K
8842,,low<=50K
8843,high>50K,
8844,,low>50K
8845,high<=50K,
8846,,low>50K
8847,high<=50K,
8848,,low<=50K
8849,,low<=50K
8850,high<=50K,
8851,,low<=50K
8852,,low<=50K
8853,,low>50K
8854,,low<=50K
8855,,low<=50K
8856,,low>50K
8857,,low<=50K
8858,,low<=50K
8859,,low<=50K
8860,high<=50K,
8861,,low<=50K
8862,,low<=50K
8863,,low<=50K
8864,,low<=50K
